y,GDPsh560,Confuncious,"Life Exp","Equip Inv",SubSahara,Muslim,"Rule of Law","Yrs Open","Eco Org",Protestants,"NEquip Inv",Mining,LatAmerica,"PrSc Enroll",Buddha,"Bl Mkt Pm",Catholic,"Civl Lib",Hindu,"Pr Exports","Pol Rights","R FEX Dist",Age,"War Dummy","English %","Foreign %","Lab Force","Spanish Col","EthnoL Frac",std(BMP),"French Col","Abs Lat",Work/Pop,"High Enroll","Pop g","Brit Col","Outwar Or",Jewish,"Rev & Coup","%Publ Edu",Area
1.369,7.438972,0,47.3,0.0507,0,0.99,0.3333,0,0,0.005,0.1907,0.196,0,0.46,0,0.131,0,5.8889,0,0.933,5.8333,190,84,0,0,0.836,2.85552,0,0.43,18.65555,1,3.672,-1.330292,0.003,0.028417,0,1,0.005,0.123,0.0297,2.382
5.6195,6.284134,0,45.7,0.1309,1,0,0.8333,0.356,5,0.25,0.153,0.533,0,0.42,0,0.072,0.25,3,0,0.75,2.0556,131,0,0,0,0,0.210919,0,0.51,2.338848,0,2.1536,-0.824395,0,0.03315,1,0,0,0,0.03,0.582
1.2239,6.546785,0,43.4,0.004,1,0.16,0.5,0.156,5,0.17,0.125,0.088,0,0.65,0,0.05,0.16,5.5556,0,0.915,6.0556,187,0,0,0,0.007,2.587055,0,0.89,0.447262,1,1.073,-0.71662,0.002,0.026343,0,1,0,0.08,0.0221,0.475
2.2322,6.968851,0,47.3,0.0498,1,0.02,0.3333,0,1,0.25,0.2384,0.168,0,0.78,0,0.05,0.25,6.1667,0,0.71,6.5556,191,0,0,0,0,0.455567,0,0.66,0.447668,1,0.3684,-0.77414,0.005,0.027473,0,1,0,0.36,0.0311,0.342
-0.0553,5.517453,0,42.2,0.006,1,0.42,0.5,0,0,0,0.0488,0.001,0,0.07,0,0.156,0,6.6111,0,0.983,6.6667,98,0,1,0,0.002,12.37853,0,0.69,7.00233,0,0.9007,-0.670017,0.001,0.022771,0,0,0,0.72,0.0095,1.222
-0.1592,6.771935,0,45.2,0.00443,1,0.3,0.1667,0.222,3,0.12,0.08667,0.016,0,0.38,0,0.35,0.12,5,0,0.994,5.8889,248,0,0,0,0,2.941271,0,0.71,58.86267,0,0.6694,-0.83425,0.002,0.027276,1,0,0,0.547,0.026,0.239
0.963,6.464588,0,45,0.028,1,0.06,0.3333,0.044,5,0.38,0.1465,0.002,0,0.47,0,0.014,0.28,4.8333,0,0.874,5.3333,131,79,0,0,0,3.712739,0,0.83,1.244759,0,0.0513,-0.808334,0.001,0.035654,1,1,0,0.05,0.0361,0.58
-2.0769,7.058758,0,41,0.01,1,0.07,0.6667,0,1,0.21,0.0611,0.078,0,0.52,0,0.05,0.2,5.0556,0,0.928,5.2222,120,0,0,0,0,2.715022,0,0.06,0.479897,1,1.8958,-0.670603,0.002,0.026986,0,0,0,0.1,0.0206,0.587
0.6819,5.905362,0,37.9,0.018,1,0.2,0.1667,0,5,0.55,0.1143,0.089,0,0.67,0,0.086,0.2,6.5556,0,0.963,6.3889,116,0,0,0,0,1.75603,0,0.62,3.264259,0,1.5811,-0.697959,0,0.030129,1,1,0,0,0.0118,0.118
2.8471,6.673298,0,46.9,0.015,0,0.99,0.1667,0.444,3,0.01,0.0684,0.029,0,0.47,0,0.179,0,4.6111,0,0.903,4.1667,123,0,1,0,0.74,3.265743,0,0.53,0.905242,1,3.3593,-1.269757,0.005,0.025559,0,0,0,0.08,0.0305,0.447
1.1234,6.322565,0,39.7,0.02,1,0.5,0.1667,0,4,0.2,0.1,0.208,0,0.36,0,0.086,0.2,4.0556,0,0.988,4.8889,277,0,1,0,0.002,14.92097,0,0.87,4.518372,0,0.6543,-1.042138,0.001,0.031227,1,1,0,0.52,0.0136,0.924
0.1353,6.924613,0,39.6,0.0114,1,0.92,0.1667,0,4,0,0.0847,0.005,0,0.27,0,0.05,0.02,4,0,0.811,4.3333,146,0,0,0,0.001,1.340771,0,0.72,0.448958,1,1.4772,-0.865835,0.005,0.027802,0,0,0,0.04,0.0187,0.197
1.5113,5.743003,0,40.6,0.0149,1,0.35,0.5,0,0,0.16,0.1656,0.002,0,0.25,0,0.014,0.16,6,0,0.872,6,216,0,1,0,0,5.520315,0,0.93,8.397841,0,0.2154,-0.596747,0,0.033545,1,0,0,0.05,0.0265,0.945
3.2771,6.981006,0,48.6,0.033,0,0.98,0.5,0.133,4,0.01,0.1059,0.079,0,0.66,0,0.848,0,4.8889,0,0.808,5.6111,104,0,0,0,0.986,1.181036,0,0.16,3.959226,1,3.6816,-1.27368,0.006,0.022372,0,0,0.01,0,0.0369,0.164
-0.9365,6.519147,0,43.2,0.0048,1,0.16,0.1667,0.156,3,0.33,0.0371,0.001,0,0.49,0,0.014,0.33,5.6111,0,0.996,5.7778,155,0,1,0,0,3.250158,0,0.9,31.95108,0,0.0228,-0.702592,0.002,0.034838,1,1,0,0.43,0.019,0.236
-1.4437,6.131227,0,42.1,0.0091,1,0.1,0.1667,0,3,0.2,0.0569,0.047,0,0.6,0,1.855,0.5,6.3889,0,0.932,6.5556,201,0,1,0,0,7.279905,0,0.9,8.494395,0,0.0569,-0.743388,0.001,0.027784,0,1,0,0.267,0.027,2.345
