"ID_sim","SNR","Method","Retention","Nonzero","Prediction"
"1 1","0.05","Lasso","4","14","113.502284715363"
"1 1","0.05","Relaxed Lasso","4","14","113.550144787991"
"1 1","0.05","RF","3","7","88.4297178460821"
"1 2","0.05","Lasso","0","1","155.502668610614"
"1 2","0.05","Relaxed Lasso","0","1","156.311766246517"
"1 2","0.05","RF","0","2","151.547974516882"
"1 3","0.05","Lasso","0","1","168.518967005342"
"1 3","0.05","Relaxed Lasso","0","1","168.00695271815"
"1 3","0.05","RF","0","6","142.568647112243"
"1 4","0.05","Lasso","1","6","132.021233778575"
"1 4","0.05","Relaxed Lasso","1","4","132.293739685406"
"1 4","0.05","RF","1","4","107.785297523813"
"1 5","0.05","Lasso","2","4","174.749678160896"
"1 5","0.05","Relaxed Lasso","2","4","172.16110324547"
"1 5","0.05","RF","1","5","154.277565395598"
"1 6","0.05","Lasso","0","0","178.236590656325"
"1 6","0.05","Relaxed Lasso","0","0","178.181808019915"
"1 6","0.05","RF","0","7","156.225769080405"
"1 7","0.05","Lasso","2","5","145.920694692766"
"1 7","0.05","Relaxed Lasso","2","4","145.349341089656"
"1 7","0.05","RF","1","5","124.591560363112"
"1 8","0.05","Lasso","0","4","165.531870578851"
"1 8","0.05","Relaxed Lasso","4","21","164.987737731826"
"1 8","0.05","RF","0","4","136.442193970575"
"1 9","0.05","Lasso","0","0","142.053461317332"
"1 9","0.05","Relaxed Lasso","0","0","142.582971279204"
"1 9","0.05","RF","0","3","138.116826761725"
"1 10","0.05","Lasso","3","16","104.793620140109"
"1 10","0.05","Relaxed Lasso","3","13","114.982645676273"
"1 10","0.05","RF","1","6","91.4382284547457"
"1 11","0.05","Lasso","1","4","163.276112923296"
"1 11","0.05","Relaxed Lasso","1","1","163.125839090923"
"1 11","0.05","RF","0","4","124.01068064144"
"1 12","0.05","Lasso","3","24","198.870975559693"
"1 12","0.05","Relaxed Lasso","3","24","199.636226912902"
"1 12","0.05","RF","1","6","163.724591069793"
"1 13","0.05","Lasso","0","2","154.553780740346"
"1 13","0.05","Relaxed Lasso","0","2","154.329707095838"
"1 13","0.05","RF","0","5","123.561665977739"
"1 14","0.05","Lasso","0","1","120.430576921088"
"1 14","0.05","Relaxed Lasso","0","1","119.84991473642"
"1 14","0.05","RF","1","6","106.725942504435"
"1 15","0.05","Lasso","1","4","166.102677601141"
"1 15","0.05","Relaxed Lasso","1","3","166.010300946841"
"1 15","0.05","RF","0","7","153.379501538974"
"1 16","0.05","Lasso","0","2","182.065630039301"
"1 16","0.05","Relaxed Lasso","0","2","181.720025919512"
"1 16","0.05","RF","0","3","156.573612100536"
"1 17","0.05","Lasso","0","0","140.281781317693"
"1 17","0.05","Relaxed Lasso","1","3","139.961335946865"
"1 17","0.05","RF","0","5","134.991411218872"
"1 18","0.05","Lasso","0","3","169.691738336837"
"1 18","0.05","Relaxed Lasso","0","2","169.621958360689"
"1 18","0.05","RF","1","5","145.917286128985"
"1 19","0.05","Lasso","2","4","172.441570500652"
"1 19","0.05","Relaxed Lasso","2","4","171.699933257906"
"1 19","0.05","RF","1","6","148.029143774951"
"1 20","0.05","Lasso","0","4","180.525957438035"
"1 20","0.05","Relaxed Lasso","0","3","180.376560350812"
"1 20","0.05","RF","0","5","152.589196725732"
"1 21","0.05","Lasso","0","4","184.649537845383"
"1 21","0.05","Relaxed Lasso","0","0","186.814626379834"
"1 21","0.05","RF","1","4","172.931593802952"
"1 22","0.05","Lasso","0","2","158.984673603219"
"1 22","0.05","Relaxed Lasso","0","2","159.049687406485"
"1 22","0.05","RF","0","9","154.521851738547"
"1 23","0.05","Lasso","0","0","145.174286584736"
"1 23","0.05","Relaxed Lasso","2","9","144.045770999419"
"1 23","0.05","RF","2","5","126.802605322067"
"1 24","0.05","Lasso","0","4","149.843363440998"
"1 24","0.05","Relaxed Lasso","0","2","150.451169965438"
"1 24","0.05","RF","0","2","125.475203732673"
"1 25","0.05","Lasso","0","4","135.493417454682"
"1 25","0.05","Relaxed Lasso","0","4","136.097044094286"
"1 25","0.05","RF","0","5","129.682844266752"
"1 26","0.05","Lasso","0","4","167.918534114007"
"1 26","0.05","Relaxed Lasso","0","3","168.555852986083"
"1 26","0.05","RF","0","3","172.168147828744"
"1 27","0.05","Lasso","1","4","152.955274023644"
"1 27","0.05","Relaxed Lasso","0","0","154.214895963735"
"1 27","0.05","RF","0","5","134.290692118083"
"1 28","0.05","Lasso","1","6","197.79177319372"
"1 28","0.05","Relaxed Lasso","1","5","200.225174439699"
"1 28","0.05","RF","1","7","179.897680429267"
"1 29","0.05","Lasso","1","7","224.043244093575"
"1 29","0.05","Relaxed Lasso","1","6","224.186826025117"
"1 29","0.05","RF","0","5","192.248734422"
"1 30","0.05","Lasso","0","0","190.031789998597"
"1 30","0.05","Relaxed Lasso","0","0","189.870943072165"
"1 30","0.05","RF","1","5","165.079968135626"
"1 31","0.05","Lasso","0","0","182.096086308145"
"1 31","0.05","Relaxed Lasso","1","1","180.763968526109"
"1 31","0.05","RF","2","5","177.523505079491"
"1 32","0.05","Lasso","0","0","151.234203858803"
"1 32","0.05","Relaxed Lasso","0","0","149.465286368081"
"1 32","0.05","RF","0","5","124.792996181847"
"1 33","0.05","Lasso","0","0","166.31354781397"
"1 33","0.05","Relaxed Lasso","0","0","163.851562983535"
"1 33","0.05","RF","1","5","156.361143432682"
"1 34","0.05","Lasso","0","1","199.916469867394"
"1 34","0.05","Relaxed Lasso","0","1","200.697667887967"
"1 34","0.05","RF","0","7","157.138072647908"
"1 35","0.05","Lasso","0","2","143.904309270073"
"1 35","0.05","Relaxed Lasso","0","2","145.116412492533"
"1 35","0.05","RF","1","7","125.583943052829"
"1 36","0.05","Lasso","0","0","127.936068669393"
"1 36","0.05","Relaxed Lasso","0","1","126.749645248008"
"1 36","0.05","RF","0","4","102.391611610718"
"1 37","0.05","Lasso","0","0","167.902405448829"
"1 37","0.05","Relaxed Lasso","0","0","168.767610292982"
"1 37","0.05","RF","2","5","132.309218977737"
"1 38","0.05","Lasso","2","16","165.800490636293"
"1 38","0.05","Relaxed Lasso","2","13","164.887984266962"
"1 38","0.05","RF","1","5","131.908969651925"
"1 39","0.05","Lasso","0","0","154.280131208967"
"1 39","0.05","Relaxed Lasso","2","5","155.820487853761"
"1 39","0.05","RF","0","3","140.101288891812"
"1 40","0.05","Lasso","0","0","137.424746814871"
"1 40","0.05","Relaxed Lasso","0","0","137.124851683849"
"1 40","0.05","RF","1","5","120.607297221581"
"1 41","0.05","Lasso","1","5","234.882818168446"
"1 41","0.05","Relaxed Lasso","0","2","233.812718632401"
"1 41","0.05","RF","2","5","206.757118118376"
"1 42","0.05","Lasso","0","0","175.181340468494"
"1 42","0.05","Relaxed Lasso","0","0","174.103397003705"
"1 42","0.05","RF","0","5","136.952830674809"
"1 43","0.05","Lasso","1","2","153.61042806751"
"1 43","0.05","Relaxed Lasso","1","2","153.549369181545"
"1 43","0.05","RF","2","5","124.348038125536"
