"ID_sim","SNR","Method","Retention","Nonzero","Prediction"
"1 1","0.05","Lasso","1","11","396.490928556943"
"1 1","0.05","Relaxed Lasso","1","10","393.378140494134"
"1 1","0.05","RF","2","6","311.708323977851"
"1 2","0.05","Lasso","1","9","528.655084649589"
"1 2","0.05","Relaxed Lasso","1","5","534.376214455737"
"1 2","0.05","RF","1","5","447.365123911361"
"1 3","0.05","Lasso","0","0","667.362270384915"
"1 3","0.05","Relaxed Lasso","1","3","653.577043716529"
"1 3","0.05","RF","0","5","639.638057686604"
"1 4","0.05","Lasso","0","0","616.111266122549"
"1 4","0.05","Relaxed Lasso","0","0","616.184251395199"
"1 4","0.05","RF","0","5","550.710675285344"
"1 5","0.05","Lasso","1","1","607.007453219806"
"1 5","0.05","Relaxed Lasso","1","1","612.107986931805"
"1 5","0.05","RF","2","5","516.063039288803"
"1 6","0.05","Lasso","1","1","601.832062275097"
"1 6","0.05","Relaxed Lasso","3","19","603.449632196801"
"1 6","0.05","RF","0","3","513.483372649797"
"1 7","0.05","Lasso","1","3","601.821248498051"
"1 7","0.05","Relaxed Lasso","1","2","601.598578785358"
"1 7","0.05","RF","1","6","467.036456590381"
"1 8","0.05","Lasso","0","1","692.169606394327"
"1 8","0.05","Relaxed Lasso","0","4","689.704666066217"
"1 8","0.05","RF","0","4","600.196940483104"
"1 9","0.05","Lasso","0","0","557.296290049823"
"1 9","0.05","Relaxed Lasso","0","0","558.434173505107"
"1 9","0.05","RF","0","4","500.352284031874"
"1 10","0.05","Lasso","1","12","532.124609952361"
"1 10","0.05","Relaxed Lasso","1","12","533.032817890076"
"1 10","0.05","RF","1","6","443.610386775132"
"1 11","0.05","Lasso","1","2","605.967286967591"
"1 11","0.05","Relaxed Lasso","1","1","606.198641979648"
"1 11","0.05","RF","1","4","528.289902685142"
"1 12","0.05","Lasso","0","0","646.443757563933"
"1 12","0.05","Relaxed Lasso","0","0","649.78493984629"
"1 12","0.05","RF","0","2","618.75005432147"
"1 13","0.05","Lasso","0","0","621.087382495925"
"1 13","0.05","Relaxed Lasso","0","1","611.147287411176"
"1 13","0.05","RF","0","4","522.439935248757"
"1 14","0.05","Lasso","2","3","636.52907086302"
"1 14","0.05","Relaxed Lasso","2","3","634.894842552659"
"1 14","0.05","RF","1","5","558.561995113799"
"1 15","0.05","Lasso","1","3","613.966865660045"
"1 15","0.05","Relaxed Lasso","1","11","620.685385766547"
"1 15","0.05","RF","0","3","583.185943299169"
"1 16","0.05","Lasso","2","4","645.716580933958"
"1 16","0.05","Relaxed Lasso","2","3","644.446992914396"
"1 16","0.05","RF","2","4","564.793300215752"
"1 17","0.05","Lasso","0","0","485.715771990292"
"1 17","0.05","Relaxed Lasso","0","0","482.757935780673"
"1 17","0.05","RF","1","5","433.255714894636"
"1 18","0.05","Lasso","0","0","636.66272609107"
"1 18","0.05","Relaxed Lasso","0","0","635.374966415819"
"1 18","0.05","RF","0","5","619.869192738466"
"1 19","0.05","Lasso","3","3","668.24939092537"
"1 19","0.05","Relaxed Lasso","2","2","670.853093578394"
"1 19","0.05","RF","2","5","614.405613950542"
"1 20","0.05","Lasso","2","3","600.293643668767"
"1 20","0.05","Relaxed Lasso","2","3","601.118140994116"
"1 20","0.05","RF","2","5","503.419286560712"
"1 21","0.05","Lasso","1","2","616.113746085062"
"1 21","0.05","Relaxed Lasso","1","1","616.340030318948"
"1 21","0.05","RF","2","5","576.626896086393"
"1 22","0.05","Lasso","1","2","635.197496675928"
"1 22","0.05","Relaxed Lasso","1","1","654.268666352037"
"1 22","0.05","RF","2","4","512.749233343701"
"1 23","0.05","Lasso","1","9","687.094476746667"
"1 23","0.05","Relaxed Lasso","1","11","686.044117909765"
"1 23","0.05","RF","1","3","605.423332705162"
"1 24","0.05","Lasso","0","1","515.049078675062"
"1 24","0.05","Relaxed Lasso","0","1","517.577381948313"
"1 24","0.05","RF","1","6","456.565021053117"
"1 25","0.05","Lasso","2","15","549.008307087851"
"1 25","0.05","Relaxed Lasso","0","0","549.282426780136"
"1 25","0.05","RF","0","5","477.254207775541"
"1 26","0.05","Lasso","1","3","777.61067438004"
"1 26","0.05","Relaxed Lasso","1","3","768.430939551073"
"1 26","0.05","RF","1","4","700.044407390782"
"1 27","0.05","Lasso","1","3","447.857050367588"
"1 27","0.05","Relaxed Lasso","1","3","445.963626019816"
"1 27","0.05","RF","2","3","403.62935398295"
"1 28","0.05","Lasso","0","0","642.672420561645"
"1 28","0.05","Relaxed Lasso","0","0","643.764093367748"
"1 28","0.05","RF","1","3","534.198382538517"
"1 29","0.05","Lasso","1","18","665.06569905965"
"1 29","0.05","Relaxed Lasso","0","16","666.47388162095"
"1 29","0.05","RF","0","4","521.974414469474"
"1 30","0.05","Lasso","0","0","611.675432476332"
"1 30","0.05","Relaxed Lasso","0","0","613.511809195602"
"1 30","0.05","RF","1","8","577.897627043488"
"1 31","0.05","Lasso","0","0","677.243027094499"
"1 31","0.05","Relaxed Lasso","0","0","683.800618623682"
"1 31","0.05","RF","3","5","552.744192459946"
"1 32","0.05","Lasso","0","2","579.02794712543"
"1 32","0.05","Relaxed Lasso","0","2","571.158758144207"
"1 32","0.05","RF","0","2","515.85368963586"
"1 33","0.05","Lasso","2","7","507.129950326844"
"1 33","0.05","Relaxed Lasso","1","3","513.129494189772"
"1 33","0.05","RF","2","4","438.130557424692"
"1 34","0.05","Lasso","1","4","718.445762825509"
"1 34","0.05","Relaxed Lasso","1","4","726.986220152672"
"1 34","0.05","RF","1","10","559.480345916424"
"1 35","0.05","Lasso","0","0","497.359531627491"
"1 35","0.05","Relaxed Lasso","0","0","496.421131598697"
"1 35","0.05","RF","2","4","482.085335212226"
"1 36","0.05","Lasso","3","3","714.79669362747"
"1 36","0.05","Relaxed Lasso","2","2","712.977203432456"
"1 36","0.05","RF","2","7","591.719044332949"
"1 37","0.05","Lasso","0","0","538.332879819687"
"1 37","0.05","Relaxed Lasso","0","0","538.222125645406"
"1 37","0.05","RF","1","3","476.787818651545"
"1 38","0.05","Lasso","0","0","676.586212635715"
"1 38","0.05","Relaxed Lasso","0","0","672.147131681327"
"1 38","0.05","RF","0","2","693.057906840683"
"1 39","0.05","Lasso","0","0","524.044140159773"
"1 39","0.05","Relaxed Lasso","0","0","526.41230395086"
"1 39","0.05","RF","0","3","514.801243084873"
"1 40","0.05","Lasso","1","2","540.280990741288"
"1 40","0.05","Relaxed Lasso","0","1","542.331853266267"
"1 40","0.05","RF","0","4","430.414221566107"
"1 41","0.05","Lasso","1","1","551.197087731513"
"1 41","0.05","Relaxed Lasso","1","1","552.504571472911"
