"LASSO1","LASSO2","RF_pred","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
45,45,45,45,45,45,45,45,45,45,46,45,45,45,45,42,44,36,45,44,41,44,45,45,42,42,44,41,41,45
45,45,45,45,45,45,45,45,45,45,45,45,42,45,46,45,47,45,47,38,39,40,45,41,41,39,46,42,41,46
45,45,45,47,45,45,45,45,45,45,47,46,22,43,41,32,44,47,44,45,43,44,41,45,42,42,42,47,45,45
45,47,45,45,45,45,45,45,47,47,46,34,41,43,39,43,45,46,48,45,44,46,42,47,44,44,44,46,47,44
48,46,45,47,48,50,47,46,41,46,48,42,44,44,47,43,33,32,37,42,46,48,45,49,48,44,45,42,44,47
49,49,47,48,46,46,49,48,49,48,42,50,43,48,39,47,44,46,41,50,47,48,48,46,46,41,45,46,47,48
48,49,48,50,50,50,50,50,48,49,45,46,36,44,42,49,46,49,38,37,46,50,48,49,49,48,50,48,46,49
49,50,48,48,48,50,48,50,50,49,46,43,32,43,45,49,44,50,47,44,46,50,50,48,45,48,50,49,49,50
50,50,50,50,50,50,50,50,50,50,47,32,46,50,48,38,44,48,20,48,49,50,49,50,50,49,49,50,49,49
50,50,50,50,49,49,43,50,50,47,46,35,48,47,46,46,39,45,44,33,50,50,49,48,49,50,49,50,49,49
