"ID_sim","SNR","Method","Retention","Nonzero","Prediction"
"1 1","0.05","Lasso","4","19","165.538063925077"
"1 1","0.05","Relaxed Lasso","4","19","165.008142487329"
"1 1","0.05","RF","3","8","135.871689396464"
"1 2","0.05","Lasso","2","7","214.726913503134"
"1 2","0.05","Relaxed Lasso","2","5","212.108317929229"
"1 2","0.05","RF","1","5","178.972771234683"
"1 3","0.05","Lasso","1","1","278.198037350364"
"1 3","0.05","Relaxed Lasso","1","1","275.69556867026"
"1 3","0.05","RF","0","7","244.167329796001"
"1 4","0.05","Lasso","0","0","311.762383849378"
"1 4","0.05","Relaxed Lasso","0","0","305.606641955813"
"1 4","0.05","RF","0","5","284.174133545232"
"1 5","0.05","Lasso","0","0","293.629893657921"
"1 5","0.05","Relaxed Lasso","0","0","294.488963965203"
"1 5","0.05","RF","0","3","263.026800482592"
"1 6","0.05","Lasso","0","0","268.632435536624"
"1 6","0.05","Relaxed Lasso","0","0","275.060213492523"
"1 6","0.05","RF","0","0","Inf"
"1 7","0.05","Lasso","2","5","246.188057538233"
"1 7","0.05","Relaxed Lasso","3","16","244.648172304773"
"1 7","0.05","RF","0","4","212.301592743243"
"1 8","0.05","Lasso","3","6","228.997070975178"
"1 8","0.05","Relaxed Lasso","0","1","228.242248033428"
"1 8","0.05","RF","3","9","184.564745149869"
"1 9","0.05","Lasso","0","0","272.158409330116"
"1 9","0.05","Relaxed Lasso","0","0","272.844719852367"
"1 9","0.05","RF","1","3","260.749832794713"
"1 10","0.05","Lasso","1","2","272.904036320133"
"1 10","0.05","Relaxed Lasso","0","0","273.915553959107"
"1 10","0.05","RF","2","8","208.267148098744"
"1 11","0.05","Lasso","1","7","233.309640329943"
"1 11","0.05","Relaxed Lasso","0","3","233.037459791001"
"1 11","0.05","RF","1","4","186.574756754033"
"1 12","0.05","Lasso","0","0","203.292789374458"
"1 12","0.05","Relaxed Lasso","1","3","201.843537515518"
"1 12","0.05","RF","1","5","168.157308653995"
"1 13","0.05","Lasso","1","7","291.858152027769"
"1 13","0.05","Relaxed Lasso","1","11","291.360133992088"
"1 13","0.05","RF","1","5","237.118263805467"
"1 14","0.05","Lasso","2","4","237.664102284347"
"1 14","0.05","Relaxed Lasso","2","3","237.925920120644"
"1 14","0.05","RF","2","8","187.044592021921"
"1 15","0.05","Lasso","0","1","319.642859535725"
"1 15","0.05","Relaxed Lasso","0","1","318.908497785766"
"1 15","0.05","RF","1","5","281.204855633966"
"1 16","0.05","Lasso","2","4","188.992618034402"
"1 16","0.05","Relaxed Lasso","1","1","187.72687778178"
"1 16","0.05","RF","3","6","160.065999179681"
"1 17","0.05","Lasso","1","2","256.40554899286"
"1 17","0.05","Relaxed Lasso","1","2","257.948692573608"
"1 17","0.05","RF","1","4","207.558059445758"
"1 18","0.05","Lasso","0","0","243.412288477044"
"1 18","0.05","Relaxed Lasso","0","0","244.274312072894"
