"ID_sim","SNR","Method","Retention","Nonzero","Prediction"
"1 1","0.05","Lasso","0","5","70.4828794623152"
"1 1","0.05","Relaxed Lasso","0","4","71.545876152457"
"1 1","0.05","RF","0","5","56.5779157533631"
"1 2","0.05","Lasso","0","0","93.0208625249851"
"1 2","0.05","Relaxed Lasso","0","0","94.1704118314476"
"1 2","0.05","RF","1","6","80.5636000522493"
"1 3","0.05","Lasso","1","1","122.467166163122"
"1 3","0.05","Relaxed Lasso","0","0","122.813523832753"
"1 3","0.05","RF","2","5","108.679321293641"
"1 4","0.05","Lasso","0","2","105.617399096479"
"1 4","0.05","Relaxed Lasso","0","1","105.541907285388"
"1 4","0.05","RF","0","5","85.9616295837391"
"1 5","0.05","Lasso","0","0","122.336512199404"
"1 5","0.05","Relaxed Lasso","0","0","121.629269890339"
"1 5","0.05","RF","0","3","100.209560792579"
"1 6","0.05","Lasso","2","4","98.6259122290725"
"1 6","0.05","Relaxed Lasso","2","3","99.220569535424"
"1 6","0.05","RF","0","0","Inf"
"1 7","0.05","Lasso","0","0","110.069766854876"
"1 7","0.05","Relaxed Lasso","0","0","110.071402718569"
"1 7","0.05","RF","1","5","104.668968059467"
"1 8","0.05","Lasso","0","4","120.640392457246"
"1 8","0.05","Relaxed Lasso","0","2","120.600137527262"
"1 8","0.05","RF","0","5","101.357814727301"
"1 9","0.05","Lasso","1","3","94.2986305782037"
"1 9","0.05","Relaxed Lasso","1","3","94.2210654777208"
"1 9","0.05","RF","0","0","Inf"
"1 10","0.05","Lasso","0","0","98.7823697004349"
"1 10","0.05","Relaxed Lasso","0","0","98.7914096823799"
"1 10","0.05","RF","1","5","84.4619477171476"
"1 11","0.05","Lasso","0","0","113.002677843018"
"1 11","0.05","Relaxed Lasso","0","0","113.461905557267"
"1 11","0.05","RF","0","3","86.5825588955993"
"1 12","0.05","Lasso","0","0","97.3411245408304"
"1 12","0.05","Relaxed Lasso","0","0","99.7577670772662"
"1 12","0.05","RF","1","2","84.3449273266377"
"1 13","0.05","Lasso","0","2","114.458893437416"
"1 13","0.05","Relaxed Lasso","0","2","115.272020820897"
"1 13","0.05","RF","0","3","113.968014966036"
"1 14","0.05","Lasso","0","0","105.864333282027"
"1 14","0.05","Relaxed Lasso","0","0","105.494535443832"
"1 14","0.05","RF","0","2","102.224199798615"
"1 15","0.05","Lasso","0","1","90.0262571696719"
"1 15","0.05","Relaxed Lasso","0","1","89.9003659729579"
"1 15","0.05","RF","1","3","79.6814914657323"
"1 16","0.05","Lasso","1","1","115.378027166603"
"1 16","0.05","Relaxed Lasso","2","2","115.616949086248"
"1 16","0.05","RF","2","4","99.1079017725756"
"1 17","0.05","Lasso","0","2","89.8408128138862"
"1 17","0.05","Relaxed Lasso","0","0","90.1979385969892"
"1 17","0.05","RF","0","0","Inf"
"1 18","0.05","Lasso","0","0","88.0804672364061"
"1 18","0.05","Relaxed Lasso","0","0","88.3569196939871"
"1 18","0.05","RF","0","6","71.092183651013"
"1 19","0.05","Lasso","0","0","110.659348637881"
"1 19","0.05","Relaxed Lasso","0","0","110.626934934017"
"1 19","0.05","RF","0","2","112.921873056367"
"1 20","0.05","Lasso","0","0","121.87959545589"
"1 20","0.05","Relaxed Lasso","0","0","121.667192319481"
"1 20","0.05","RF","2","5","100.243437979811"
"1 21","0.05","Lasso","0","0","114.969667082951"
"1 21","0.05","Relaxed Lasso","0","0","114.785070964727"
"1 21","0.05","RF","0","0","Inf"
"1 22","0.05","Lasso","2","21","101.814769144379"
"1 22","0.05","Relaxed Lasso","1","11","101.851672858139"
"1 22","0.05","RF","0","7","78.6247871806653"
"1 23","0.05","Lasso","0","0","116.458329466237"
"1 23","0.05","Relaxed Lasso","0","0","115.586470521054"
"1 23","0.05","RF","0","5","92.6271418276703"
"1 24","0.05","Lasso","1","5","109.244839597133"
"1 24","0.05","Relaxed Lasso","1","3","109.275024807737"
"1 24","0.05","RF","1","1","105.622311984809"
"1 25","0.05","Lasso","1","6","109.825262284835"
"1 25","0.05","Relaxed Lasso","1","6","109.923549369475"
"1 25","0.05","RF","1","7","88.1509576738606"
"1 26","0.05","Lasso","0","2","123.322260316424"
"1 26","0.05","Relaxed Lasso","0","2","123.848252400218"
"1 26","0.05","RF","0","4","96.3618990018895"
"1 27","0.05","Lasso","0","0","105.742449930489"
"1 27","0.05","Relaxed Lasso","1","1","105.266599056869"
"1 27","0.05","RF","1","5","91.3593338881766"
"1 28","0.05","Lasso","0","0","104.287196929868"
"1 28","0.05","Relaxed Lasso","0","0","102.519946229779"
"1 28","0.05","RF","0","3","100.213750987414"
"1 29","0.05","Lasso","0","0","123.785948437444"
"1 29","0.05","Relaxed Lasso","0","0","123.956426052131"
"1 29","0.05","RF","1","5","96.0043244647293"
"1 30","0.05","Lasso","2","23","125.298559494219"
"1 30","0.05","Relaxed Lasso","2","20","124.994666172415"
"1 30","0.05","RF","1","4","85.4710574744571"
"1 31","0.05","Lasso","0","2","118.565972310411"
"1 31","0.05","Relaxed Lasso","0","2","118.778552359143"
"1 31","0.05","RF","1","6","106.518415495441"
"1 32","0.05","Lasso","0","0","131.131504701635"
"1 32","0.05","Relaxed Lasso","0","0","132.80930953591"
"1 32","0.05","RF","1","4","116.096303060289"
"1 33","0.05","Lasso","0","0","113.885768182367"
"1 33","0.05","Relaxed Lasso","0","0","113.649008051752"
"1 33","0.05","RF","2","5","92.413639737581"
"1 34","0.05","Lasso","0","1","122.423003662938"
"1 34","0.05","Relaxed Lasso","0","0","123.537047789793"
"1 34","0.05","RF","1","4","110.640064300495"
"1 35","0.05","Lasso","0","0","94.1726715015649"
"1 35","0.05","Relaxed Lasso","0","1","93.78382906934"
"1 35","0.05","RF","1","5","83.466378964185"
"1 36","0.05","Lasso","2","5","74.9057128264083"
"1 36","0.05","Relaxed Lasso","2","3","81.2127826368795"
"1 36","0.05","RF","2","4","63.3215821008026"
"1 37","0.05","Lasso","0","0","105.93590774607"
"1 37","0.05","Relaxed Lasso","0","0","105.685394514117"
