"ID_sim","SNR","Method","Retention","Nonzero","Prediction"
"1 1","0.05","Lasso","1","21","202.210629657423"
"1 1","0.05","Relaxed Lasso","0","1","203.313825597465"
"1 1","0.05","RF","0","11","126.890451135387"
"1 2","0.05","Lasso","0","0","217.240685503356"
"1 2","0.05","Relaxed Lasso","0","0","216.154963904193"
"1 2","0.05","RF","1","14","137.143966231714"
"1 3","0.05","Lasso","0","20","224.669470428763"
"1 3","0.05","Relaxed Lasso","0","8","224.129182119947"
"1 3","0.05","RF","0","9","132.565688559226"
"1 4","0.05","Lasso","0","0","200.16238908725"
"1 4","0.05","Relaxed Lasso","0","0","200.707715765821"
"1 4","0.05","RF","1","15","127.360249748121"
"1 5","0.05","Lasso","1","4","235.518518626322"
"1 5","0.05","Relaxed Lasso","0","0","237.020160784549"
"1 5","0.05","RF","0","10","149.093260822775"
"1 6","0.05","Lasso","0","0","252.760459911044"
"1 6","0.05","Relaxed Lasso","0","0","253.464252925361"
"1 6","0.05","RF","0","8","162.605446413327"
"1 7","0.05","Lasso","0","0","171.396947140186"
"1 7","0.05","Relaxed Lasso","0","0","171.826991936878"
"1 7","0.05","RF","1","9","95.3227301849033"
"1 8","0.05","Lasso","0","0","267.488733227873"
"1 8","0.05","Relaxed Lasso","0","0","266.714818204588"
"1 8","0.05","RF","0","9","160.190122291474"
"1 9","0.05","Lasso","0","0","183.0487481813"
"1 9","0.05","Relaxed Lasso","0","0","185.768914542361"
"1 9","0.05","RF","3","12","112.738183219713"
"1 10","0.05","Lasso","2","18","181.003658058641"
"1 10","0.05","Relaxed Lasso","1","1","180.629381874669"
"1 10","0.05","RF","1","9","106.392772922546"
"1 11","0.05","Lasso","0","0","285.319346579755"
"1 11","0.05","Relaxed Lasso","0","0","284.551317275796"
"1 11","0.05","RF","0","8","173.144262795049"
"1 12","0.05","Lasso","0","0","174.53617648251"
"1 12","0.05","Relaxed Lasso","0","0","171.679594807912"
"1 12","0.05","RF","0","13","116.745842491629"
"1 13","0.05","Lasso","0","3","217.870330296711"
"1 13","0.05","Relaxed Lasso","0","3","217.992460765478"
"1 13","0.05","RF","0","10","131.769174882124"
"1 14","0.05","Lasso","2","4","251.864097316295"
"1 14","0.05","Relaxed Lasso","2","3","251.098176801763"
"1 14","0.05","RF","1","14","145.247852089536"
"1 15","0.05","Lasso","0","0","217.486108339285"
"1 15","0.05","Relaxed Lasso","0","0","216.726158347153"
"1 15","0.05","RF","0","9","117.844173363664"
"1 16","0.05","Lasso","0","0","155.438829819099"
"1 16","0.05","Relaxed Lasso","0","1","154.285737679295"
"1 16","0.05","RF","0","14","90.2924044330236"
"1 17","0.05","Lasso","0","0","223.425603947725"
"1 17","0.05","Relaxed Lasso","0","25","217.373243758091"
"1 17","0.05","RF","0","8","132.704255326966"
"1 18","0.05","Lasso","0","0","235.998977632408"
"1 18","0.05","Relaxed Lasso","0","0","235.836743561926"
"1 18","0.05","RF","0","11","151.080077955209"
